SN;WHP;WFR;OFR;GFR;WPD;API;ID;WBHT;BHP
399;250;3567;17663;11587.00;6645;37.3;6.276;225;2612
400;700;1458;9423;4881.00;7038;37.3;3.958;225;3065
401;560;1189;723;310.00;6700;33.4;6.276;217;3048
402;330;331;7022;3223.00;6240;31.7;4.000;200;2050
403;320;854;176;21.00;6350;33.4;2.441;217;2903
404;320;5495;9437;5813.00;6913;37.3;3.958;225;3015
405;305;9563;3700;1443.00;6712;37.3;3.958;225;3076
406;240;2484;5328;2461.00;6195;33.4;3.958;217;1889
407;470;16;5284;2198.00;6017;31.7;4.000;200;1899
408;1028;275;3658;2977.00;4800;42.5;3.958;185;1874
409;280;782;6457;2551.00;6696;31.7;3.958;200;1965
410;196;1917;4955;1823.00;6093;33.4;4.000;217;1796
411;205;335;4260;1286.00;6013;31.7;3.958;200;2038
412;180;3018;4781;2271.00;6580;33.4;6.276;217;1880
413;300;2353;4388;2111.00;6058;33.4;3.958;217;2131
414;532;3084;10503;3812.00;6165;33.4;4.000;217;2482
415;600;4404;3309;1995.00;6868;37.6;4.000;196;2607
416;570;16;7868;2392.00;5993;33.4;4.000;217;2327
417;260;13;12846;5485.00;6478;31.7;3.958;200;2146
418;620;294;2506;561.00;6576;33.4;4.000;217;2640
419;460;4250;3207;2854.00;6679;38.3;2.992;209;2855
420;220;5707;9802;6253.00;6495.99;37.3;3.958;225;2745
421;250;4353;8565;3854.00;5899;33.4;3.958;217;2135
422;870;1345;4882;2168.00;6441;33.4;4.000;217;2858
423;210;3251;2177;1027.00;6555;33.4;4.000;217;2370
424;360;375;5585;2915.00;6551;33.4;4.000;217;2131
425;220;7774;8288;5512.00;6669.36;37.3;3.958;225;2895
426;1000;194;4121;437.00;6132;33.4;4.000;217;2854
427;220;6956;7971;6154.00;6754;37.3;4.000;225;2800
428;230;1042;8098;3320.00;6047;33.4;4.000;217;1906
429;390;842;8112;1063.00;4243;35.3;4.000;233;2014
430;260;3173;6442;3369.00;5671;33.4;4.000;217;1927
431;200;1218;6957;3388.00;6680;31.7;3.958;200;2030
432;210;11395;5437;3969.00;6264;33.4;3.958;217;2970
433;210;1278;9934;4033.00;6574;33.4;3.958;217;2138
434;917;381;1435;1673.00;4700;42.5;4.000;185;1966
435;210;1501;7542;3658.00;6372;33.4;4.000;217;1932
436;230;1588;13390;6561.00;6649;31.7;6.276;200;2182
437;280;48;9522;2819.00;6340;31;4.000;225;2220
438;530;59;9787;2995.00;6621;33.4;4.000;217;2496
439;560;4910;2195;1328.00;6653;37.3;6.276;225;3045
440;185;3938;3563;2636.00;6248;33.4;4.000;217;2025
441;880;1976;7200;3435.00;6314;33.4;3.958;217;2855
442;280;10715;275;239.00;7190;37.3;3.958;225;3206
443;220;6197;3640;1867.00;5928;33.4;3.958;217;2189
444;187;48;2360;210.00;4971;27.6;4.000;160;2195
445;540;1444;5431;2216.00;6454;37.3;4.000;225;2495
446;230;8755;7985;4639.00;6547;37.3;6.276;225;2424
447;230;3591;5986;3370.00;6501;33.4;3.958;217;2183
448;330;2;1758;621.00;6591;31.7;3.958;200;2200
449;180;5690;5510;3174.00;6830;33.4;3.958;217;2322
450;270;5133;5154;2896.00;6926;33.4;3.958;217;2575
451;250;1206;10069;4984.00;6666;33.4;3.958;217;2143
452;220;3887;1871;720.00;4912;33.4;2.992;217;2186
453;200;36;3937;1917.00;6258;31.7;2.992;200;1864
454;300;5703;5889;3569.00;6523;37.3;4.000;225;2580
455;1025;657;4038;4001.00;6282;37.6;3.958;196;2761
456;250;3402;3670;2573.00;6670;33.4;2.992;217;2541
457;200;8026;1529;1622.00;6448;37.3;3.958;225;2805
458;200;224;6576;736.00;5191;27.6;3.958;160;2159
459;260;9896;7404;5257.00;6679;37.3;3.958;225;2895
460;310;349;2446;575.00;5855;33.4;4.000;217;2257
461;120;16;1043;83.00;6100;27.6;3.958;160;2031
462;306;0;2404;221.00;6056;27.6;4.000;160;2202
463;750;1021;4883;3052.00;6642;37.3;3.958;225;2819
464;480;3267;5539;2814.00;7595;37.3;4.000;225;2953
465;240;1468;12385;7059.00;6631;33.4;3.958;217;2325
466;250;4;4096;1311.00;6589;31.7;4.000;200;2252
467;425;0;4171;355.00;5732;27.6;4.000;160;2274
468;720;3882;3361;1502.00;6500;33.4;3.958;217;3175
469;255;773;10770;5105.00;6053;33.4;3.958;217;2095
470;230;1282;450;324.00;6592;31.7;2.992;200;2617
471;340;4878;690;351.00;6497;33.4;3.958;217;3045
472;410;79;2401;146.00;5650;27.6;3.958;160;2271
473;350;4082;4018;1924.00;6201;33.4;3.958;217;2608
474;240;1512;12363;6367.00;6359;31.7;3.958;200;2273
475;435;306;5694;478.00;5730;27.6;3.958;160;2287
476;300;103;9284;2107.00;5215;28.1;3.958;160;1937
477;260;5603;3478;1878.00;6649;33.4;3.958;217;2484
478;290;4950;6300;3604.00;6589;37.3;4.000;225;2745
479;200;829;6447;3249.00;6587;33.4;4.000;217;1924
480;250;1424;746;285.00;5994;33.4;2.992;217;2279
481;260;7712;8189;14854.00;6718;37.3;3.958;225;2939
482;1050;1500;13503;6360.00;6827;31.7;3.958;200;3283
483;990;659;4529;2183.00;5027;33.4;4.000;217;2417
484;200;507;2873;1006.00;6020;35.3;4.000;233;2020
485;650;5430;2316;1753.00;7000;38.3;4.000;209;3162
486;320;7829;11550;6295.00;6874;37.3;4.000;225;2934
487;840;966;1334;868.00;6672;33.7;4.000;175;2831
488;275;3666;10434;5822.00;6856;33.4;3.958;217;2848
489;245;539;9437;4700.00;5668;33.4;2.992;217;2228
490;830;5214;2615;1577.00;6510;33.4;4.000;217;3089
491;345;4220;4701;1241.00;6256;33.4;3.958;217;2506
492;410;2921;10728;5235.00;5893;33.4;6.276;217;2178
493;100;2996;333;184.00;6371;33.4;2.441;217;2615
494;340;2043;3277;1416.00;6363;33.4;3.958;217;2306
495;440;962;755;278.00;6076;33.4;4.000;217;2517
496;620;3491;5648;2790.00;6587;37.3;3.958;225;2739
497;310;4672;5528;2515.00;6639;33.4;3.958;217;2535
498;220;43;8458;3942.00;6256;31.7;4.000;200;1726
499;450;1196;6187;693.00;5897;33.4;4.000;217;2208
500;280;648;2146;966.00;6773;31.7;2.441;200;2275
501;320;7;7303;2826.00;6383;33.4;4.000;217;1899
502;355;913;9831;3126.00;6831;33.4;3.958;217;2336
503;210;1266;7465;3367.00;6522;33.4;4.000;217;1914
504;760;193;10539;5891.00;6637;33.4;4.000;217;2440
505;430;2150;1628;402.00;6263;33.4;3.958;217;2493
506;285;1412;1511;364.00;6494;33.4;2.992;217;2385
507;750;1947;4653;3187.00;6015;33.4;3.958;217;2717
508;393;0;5603;986.00;5635;26.4;3.958;160;2198
509;350;2036;13508;7146.00;6727;37.3;4.000;225;2651
510;190;254;1576;561.00;6448;33.4;4.000;217;2116
511;460;157;5083;579.00;5185;27.6;3.958;160;2256
512;260;1181;13398;6391.00;6468;33.4;4.000;217;2349
513;300;3468;13286;7414.00;6739;37.3;3.958;225;2735
514;230;52;17284;8953.00;6326;33.4;3.958;217;2404
515;780;286;7411;2794.00;6407;33.4;4.000;217;2906
516;220;1930;7304;4083.00;6026;33.4;3.958;217;1970
517;100;93;6567;722.00;5766;27.6;3.958;160;1984
518;375;0;1943;295.00;5095;26.4;3.958;160;2216
519;240;3576;8424;4296.00;6131;33.4;3.958;217;2243
520;305;113;13999;7154.00;7006;33.4;3.958;217;2354
521;310;1488;4326;1977.00;6267;33.4;4.000;217;2235
522;150;26;3724;384.00;5922;27.6;3.958;160;2047
523;235;5866;4425;2960.00;6831;33.4;3.958;217;2684
524;295;155;4396;761.00;5930;26.4;4.000;160;2114
525;340;4731;1654;1586.00;6848;33.4;4.000;217;2661
526;400;0;4230;495.00;5050;26.4;4.000;160;2246
527;290;2369;4897;2503.00;6544;37.3;3.958;225;2392
528;470;107;2572;442.00;5250;27.6;3.958;160;2287
529;680;3872;7652;6963.00;6985;38.3;3.958;209;2823
530;240;1095;9855;4642.00;6235;33.4;4.000;217;2125
531;360;2;1139;159.00;5066;27.6;3.958;160;2217
532;250;5810;4678;2708.00;6456;37.3;3.958;225;2566
533;480;1188;7060;826.00;6664;33.4;6.276;217;2689
534;520;4978;5393;3748.00;6870.5;37.3;3.958;225;3033
535;450;1956;3219;2163.00;6262;33.4;4.000;217;2577
536;390;0;3044;286.00;6229;27.6;3.958;160;2267
537;290;4206;7444;5501.00;5833;33.4;4.000;217;2025
538;330;2623;4725;2343.00;5964;33.4;4.000;217;2291
539;285;67;13287;5993.00;6516;33.4;4.000;217;2306
540;400;134;6250;3106.00;6510;31.7;4.000;200;2303
541;255;4657;4264;1748.00;6209;33.4;3.958;217;2507
542;590;3046;1549;526.00;6769;37.3;4.000;225;3196
543;420;0;2700;413.00;6060;26.4;3.958;160;2269
544;220;1263;10656;5402.00;6828;33.4;3.958;217;2307
545;100;1870;630;43.00;5907;27.6;4.000;160;2320
546;170;4322;2441;1448.00;6741;33.4;2.992;217;2780
547;280;2013;10115;4946.00;6256;33.4;3.958;217;2056
548;480;2333;1690;809.00;6628;37.3;4.000;225;2641
549;225;2129;2927;1098.00;6083;33.4;4.000;217;2071
550;175;5593;7177;3538.00;6606;33.4;6.276;217;2183
551;500;1259;4941;2693.00;6559;31.7;2.992;200;2511
552;410;4;4367;1943.00;6075;33.4;3.958;217;1990
553;250;1167;1865;675.00;5982;33.4;4.000;217;2056
554;700;371;7321;3199.00;5963;33.4;4.000;217;2291
555;200;7313;1726;1267.00;6783;31.7;3.958;200;2638
556;520;3093;13271;7312.00;6642;37.3;6.276;225;2525
557;940;1260;2240;1772.00;7122;33.7;4.000;175;2831
558;255;4491;4787;2509.00;6244;33.4;3.958;217;2192
559;570;1557;3338;2464.00;6194;37.6;3.958;196;2580
560;240;2165;2835;1539.00;6815;31.7;3.958;200;2166
561;340;33;8167;2687.00;6318;33.4;4.000;217;2000
562;260;3524;6374;3181.00;6787;33.4;3.958;217;2194
563;260;736;1663;715.00;6045;33.4;3.958;217;1864
564;200;5;5311;1816.00;6828;31.7;3.958;200;2224
565;280;1635;4704;1594.00;6240;33.4;3.958;217;2019
566;1058;66;6567;5910.00;4770;42.5;4.000;185;2152
567;205;415;13424;6511.00;6213;33.4;3.958;217;2145
568;760;4488;4295;2925.00;6548;37.3;3.958;225;2919
569;340;137;2917;300.00;5250;27.6;4.000;160;2232
570;250;2303;1382;618.00;6709;37.3;2.992;225;2684
571;230;2759;401;262.00;6517;33.4;2.441;217;2959
572;310;1374;8878;8017.00;6733;31.7;4.000;200;1973
573;315;210;2123;191.00;6000;27.6;4.000;160;2233
574;150;103;4569;356.00;5593;27.6;3.958;160;2020
575;540;443;2361;756.00;6055;33.4;4.000;217;2428
576;220;5723;8477;4078.00;5815.8;33.4;3.958;217;2329
577;300;3349;1316;505.00;6353;37.3;4.000;225;2804
578;185;2025;819;405.00;6315;33.4;3.958;217;2520
579;560;151;9264;3974.00;6334;37.3;3.958;225;2533
580;340;772;5767;2699.00;6309;33.4;4.000;217;2316
581;230;9031;6566;3986.00;6390;37.3;3.958;225;2542
582;720;2661;9434;6736.00;6690;37.3;4.000;225;2917
583;190;7317;1784;994.00;6254;33.4;4.000;217;2649
584;365;4041;2073;1780.00;6502;33.4;4.000;217;2681
585;680;1560;9501;5292.00;6356;37.3;4.000;225;2740
586;930;2723;7037;4032.00;6501;37.3;3.958;225;3260
587;900;2016;3522;4417.00;6980;38.3;3.958;209;2867
588;285;1120;6011;2525.00;6440;33.4;3.958;217;2281
589;140;148;10452;669.00;5651;27.6;3.958;160;2150
590;1100;417;2400;463.00;6282;33.4;4.000;217;3293
591;300;1717;11591;4660.00;5855;33.4;4.000;217;2213
592;310;1001;8266;4464.00;5785;33.4;4.000;217;1950
593;760;84;4855;1359.00;5434;33.4;2.992;217;2644
594;1110;1100;1545;618.00;6874;33.4;4.000;217;3571
595;250;1433;4254;1651.00;6424;31.7;2.992;200;2549
596;230;211;8969;3552.00;6644;33.4;3.958;217;2096
597;280;1675;3195;230.00;5064;27.6;4.000;160;2300
598;170;2246;9701;5190.00;6537;31.7;3.958;200;2230
599;700;3738;1341;992.00;6415;33.4;4.000;217;3052
600;260;3142;2275;1119.00;6548;33.4;2.992;217;2629
601;190;24;12215;5631.00;6242;33.4;4.000;217;2049
602;525;1040;14260;8099.00;7358;37.3;3.958;225;2810
603;310;2550;13798;7810.00;6815;37.3;4.000;225;2679
604;550;287;7481;4301.00;6054;33.4;4.000;217;2306
605;396;488;2763;323.00;5755;26.4;3.958;160;2301
606;960;45;7525;2709.00;6212;37.3;3.958;225;2950
607;170;3530;7199;2757.00;6710;33.4;4.000;217;2460
608;920;359;9910;8275.00;5986;38.7;4.000;220;2566
609;280;10144;5156;2949.00;6700;33.4;3.958;217;2965
610;510;1620;994;800.00;6189;33.4;4.000;217;2728
611;350;2224;13546;6638.00;6593;37.3;3.958;225;2621
612;336;834;5630;1115.00;4888;28.1;3.958;160;2174
613;230;561;839;421.00;6370;33.4;3.958;217;2240
614;930;2105;4495;4166.00;6186;38.7;3.958;220;2731
615;320;442;14791;2026.00;6191;33.4;4.000;217;2726
616;220;4852;796;426.00;6021;33.4;3.958;217;2690
617;191;67;6796;816.00;6451;26.4;4.000;160;2040
618;590;2732;6168;3824.00;6487;33.4;3.958;217;2484
619;370;0;1484;139.00;5818;27.6;4.000;160;2268
620;375;6385;6890;5209.00;6864;33.4;4.000;217;2838
621;560;3641;1809;2238.00;6543;38.7;2.992;220;2846
622;640;1076;14517;7476.00;6919;37.3;3.958;225;3149
623;938;338;5300;4510.00;4850;42.5;4.000;185;2094
624;280;4260;17040;9491.00;6613;37.3;6.276;225;2588
625;315;9570;3966;2158.00;7087;31.7;4.000;200;3146
626;400;291;2806;219.00;5866;27.6;4.000;160;2345
627;480;2870;9664;5943.00;6575;37.3;3.958;225;2584
628;720;4662;2668;2636.00;6831;38.3;4.000;209;3196
629;380;1887;5661;668.00;5524;27.6;4.000;160;2312
630;240;4941;7110;4046.00;6215;33.4;4.000;217;2244
631;320;8507;6876;3782.00;6856;31.7;4.000;200;2997
632;220;3742;3112;1609.00;5643;33.4;4.000;217;2212
633;230;2778;10203;4622.00;6557;33.4;3.958;217;2384
634;590;4601;6460;3159.00;6879;37.3;3.958;225;3125
635;240;5112;3794;1559.00;6116;31.7;4.000;200;2408
636;820;70;11633;3490.00;6196;37.3;4.000;225;2953
637;620;3802;2598;1892.00;6413;37.3;4.000;225;2995
638;360;5168;348;286.00;6492;33.4;4.000;217;3152
639;890;249;988;556.00;6078;37.3;4.000;225;2784
640;300;9735;1598;2459.00;6588;37.3;3.958;225;2965
641;285;8861;6739;3363.00;7044;33.4;3.958;217;2984
642;570;6065;2513;3526.00;6090;37.6;3.958;196;2510
643;240;724;3803;297.00;5087;28.1;4.000;160;2104
644;600;40;9992;5526.00;6749;37.3;3.958;225;2609
645;420;51;1360;80.00;5740;27.6;3.958;160;2430
646;283;0;1119;107.00;5097;26.2;3.958;160;2114
647;390;3600;1162;293.00;6199;33.4;3.958;217;2884
648;220;5210;2590;1911.00;6745;33.4;4.000;217;2730
649;1020;880;1818;1267.00;5042;37.3;4.000;225;2783
650;400;2846;4703;2789.00;6418;33.4;3.958;217;2480
651;1394;0;1000;1045.00;8478;47.5;2.992;189;3698
652;265;64;7056;3697.00;6006;31.7;4.000;200;1818
653;520;317;12683;6050.00;5684;33.4;4.000;217;2224
654;457;0;1822;250.00;5673;27.6;3.958;160;2414
655;220;2144;7782;3058.00;6289;33.4;3.958;217;2349
656;480;6114;2389;2045.00;6725;37.3;3.958;225;2967
657;390;30;9821;5019.00;6517;31.7;4.000;200;2316
658;493;1116;3533;1131.00;6062;35.3;4.000;233;2511
659;360;8;3941;571.00;5007;26.4;3.958;160;2138
660;280;3309;7758;4259.00;6760.2;37.3;3.958;225;2571
661;280;588;14121;6312.00;6281;33.4;3.958;217;2289
662;535;4183;4217;2952.00;5728;33.4;3.958;217;2289
663;255;1897;1603;545.00;6333;33.4;4.000;217;2341
664;300;569;11799;6171.00;6363;33.4;4.000;217;2424
665;390;1546;5354;2827.00;6603;31.7;4.000;200;2293
666;1200;337;2522;2335.00;5981;38.1;4.000;207;2635
667;500;697;2161;640.00;6222;33.4;4.000;217;2452
668;900;65;6400;5472.00;5920;37.3;4.000;225;2789
669;820;58;2175;574.00;6724;38.3;4.000;209;3103
670;200;1010;8170;915.00;5921;27.6;4.000;160;2310
671;360;420;12720;6958.00;6703;37.3;4.000;225;2652
672;950;476;803;472.00;6537;31.7;4.000;200;2922
673;360;4818;8064;4782.00;6958.5;33.4;3.958;217;3076
674;350;2433;6256;1076.00;4882;26.4;3.958;160;2129
675;260;1275;973;546.00;6739;33.4;3.958;217;2380
676;310;2871;2704;1941.00;6698;31.7;3.958;200;2342
677;500;80;4608;2088.00;6728;31.7;4.000;200;2366
678;195;2168;4714;2154.00;6716;33.4;3.958;217;2169
679;255;184;3504;890.00;6105;33.4;4.000;217;2019
680;1410;1532;3698;532.00;6682;33.4;4.000;217;3589
681;1000;13;6423;2736.00;6440;37.3;4.000;225;2729
682;250;2084;1776;938.00;6277;33.4;2.992;217;2263
683;1090;1206;1689;792.00;6555;33.4;2.992;217;3140
684;428;26;13045;4983.00;6199;33.4;3.958;217;2210
685;370;2198;4847;1822.00;5856;33.4;4.000;217;2107
686;740;1115;14815;7630.00;6599;37.3;4.000;225;2836
687;400;1294;3645;470.00;5096;37.3;2.441;225;2282
688;320;2339;1173;569.00;5816;33.4;4.000;217;2262
689;405;5598;2988;1461.00;6556;33.4;3.958;217;2673
690;540;3346;7589;3332.00;6688;37.3;3.958;225;2686
691;520;646;6227;3045.00;6592;37.3;4.000;225;2330
692;200;4460;3419;1741.00;6709;31.7;3.958;200;2395
693;440;72;7091;3241.00;5948;31.7;4.000;200;1999
694;370;6844;547;497.00;7164;31.7;4.000;200;2801
695;420;238;3933;397.00;6668;35.3;6.276;233;2334
696;205;2908;5060;2454.00;6527;33.4;4.000;217;2155
697;225;2040;7360;3165.00;6610;33.4;4.000;217;2163
698;680;1551;637;364.00;6535;33.4;3.958;217;2958
699;200;10171;2039;779.00;5566;33.4;3.958;217;2349
700;315;298;9008;4702.00;6618;33.4;3.958;217;1972
701;270;4207;4156;1671.00;6407;33.4;4.000;217;2359
702;235;1907;2581;524.00;6230;31.7;2.992;200;2379
703;480;602;910;248.00;6034;33.4;3.958;217;2458
704;1180;8;7706;5942.00;6327;37.3;3.958;225;2827
705;340;1904;3257;967.00;6601;31.7;2.992;200;2417
706;465;6;5852;2674.00;6135;31.7;4.000;200;1957
707;260;2067;8371;3072.00;6409;33.4;3.958;217;2053
708;1180;63;2915;2198.00;6733;38.3;3.958;209;3046
709;235;1718;6788;2125.00;6611;33.4;3.958;217;2100
710;215;281;7323;3603.00;6390;33.4;4.000;217;1705
711;340;380;4090;1910.00;6621;33.4;3.958;217;1993
712;315;3342;1661;772.00;6809;31.7;2.992;200;2547
713;215;1111;6998;3408.00;6514;33.4;3.958;217;1818
714;230;200;5522;2170.00;6608;33.4;4.000;217;1846
715;320;834;5535;2751.00;6210;33.4;4.000;217;1839
716;220;1835;3777;1254.00;6518;33.4;3.958;217;2051
717;230;2113;4101;1870.00;6162;33.4;6.276;217;1819
718;405;863;7596;3274.00;6232;33.4;3.958;217;1999
719;265;742;5288;2300.00;6558;33.4;4.000;217;1898
720;285;568;6272;2101.00;6484;33.4;4.000;217;2123
721;465;150;5217;2368.00;6633;33.4;3.958;217;2254
722;400;1404;1780;895.00;6854;33.4;2.992;217;2541
723;200;663;4007;593.00;5900;27.6;4.000;160;2387
724;490;8;3922;2036.00;6583;31.7;4.000;200;2137
725;246;99;9791;2379.00;6380;33.4;4.000;217;2106
726;340;4356;2844;1561.00;6209;33.4;4.000;217;2341
727;800;596;1102;889.00;6933;38.3;4.000;209;3011
728;215;1379;3906;1066.00;6392;33.4;2.992;217;2168
729;180;459;3951;364.00;5071;27.6;4.000;160;2076
730;200;6895;3505;1717.00;6136;33.4;3.958;217;2283
731;330;4798;1060;328.00;6382;37.3;3.958;225;2738
732;1149;86;1140;7183.00;4790;42.5;3.958;185;1970
733;350;47;5153;830.00;6950;33.4;4.000;217;2233
734;1100;140;9860;2357.00;6206;37.3;4.000;225;2885
735;620;863;6638;2303.00;6368;33.4;4.000;217;2504
736;610;520;12824;12016.00;6806;38.3;3.958;209;2838
737;380;9500;3000;1248.00;6517;33.4;4.000;217;2810
738;300;8116;3512;1914.00;6505;33.4;3.958;217;2517
739;560;3605;5296;5131.00;6782;38.3;4.000;209;2810
740;1030;1855;9883;5673.00;5418;37.3;4.000;225;2563
741;330;2239;1961;1024.00;6482;33.4;3.958;217;2379
742;480;2831;5352;2665.00;6559;37.3;4.000;225;2424
743;340;3041;1594;725.00;5875;33.4;2.992;217;2351
744;915;2269;973;506.00;7151;33.4;2.992;217;3270
745;310;5212;8397;4904.00;6719;37.3;3.958;225;3023
746;250;452;5652;639.00;6063;31.7;2.992;200;2266
747;720;5676;6324;4781.00;6870;38.3;3.958;209;2933
748;210;1638;7311;3817.00;7030;31.7;3.958;200;1858
749;370;1137;4463;2731.00;6472;33.4;3.958;217;2063
750;570;266;9584;5894.00;6584;37.3;3.958;225;2884
751;380;2053;7541;2850.00;6637;31.7;3.958;200;2379
752;240;1082;3078;416.00;6360;33.4;4.000;217;2257
753;1200;181;2401;2168.00;6701;38.3;2.992;209;3014
754;210;192;8527;3624.00;6064;33.4;4.000;217;1754
755;840;1339;8292;6219.00;6344;37.3;2.992;225;2869
756;330;540;5600;2923.00;5843;33.4;4.000;217;1796
757;500;44;5474;2907.00;6738;31.7;4.000;200;2152
758;270;2396;7422;3592.00;6361;33.4;3.958;217;2030
759;850;413;3887;1458.00;6451;33.4;3.958;217;2691
760;380;1721;3268;2114.00;6769;31.7;4.000;200;2278
761;200;1803;2057;883.00;6355;31.7;2.992;200;2177
762;230;3362;4624;2210.00;6852;31.7;3.958;200;2223
763;780;5549;4119;3315.00;6920;38.3;4.000;209;3325
764;410;11;10989;5593.00;5803;31.7;4.000;200;1865
765;460;4595;1805;998.00;6736;33.4;4.000;217;2833
766;190;569;3496;1374.00;6071;33.4;3.958;217;1940
767;620;24;3997;1447.00;6496;31.7;4.000;200;2336
768;250;1758;4203;1765.00;6753;31.7;4.000;200;2107
769;1350;32;3206;4148.00;4650;42.5;3.958;185;2199
770;280;4636;2486;1377.00;6007;33.4;3.958;217;2205
771;350;2622;2774;802.00;5850;33.4;3.958;217;2236
772;395;479;14962;7616.00;6769;37.3;3.958;225;2340
773;470;2481;523;118.00;6022;33.4;3.958;217;2630
774;320;3568;826;9.00;6668;33.4;4.000;217;2851
775;420;5364;7081;3222.00;6642;37.3;2.992;225;2960
776;430;1051;5131;2068.00;5835;31.7;2.992;200;2193
777;250;1269;6764;3578.00;5947;33.4;3.958;217;1746
778;230;167;15004;6017.00;6624;33.4;6.276;217;2050
779;240;202;4979;831.00;6315;33.4;4.000;217;2079
780;260;334;5966;2894.00;6546;31.7;4.000;200;1903
781;285;2593;5560;2652.00;6420;33.4;3.958;217;2122
782;240;283;7363;3335.00;6648;31.7;4.000;200;1913
783;350;3979;1788;681.00;6533;33.4;4.000;217;2533
784;1100;80;8820;1349.00;6545;37.3;3.958;225;2940
785;185;3084;815;283.00;6259;33.4;2.992;217;2302
786;200;3017;4583;2058.00;5985;33.4;3.958;217;2303
787;780;1981;2532;1068.00;4933;37.3;4.000;225;2323
788;260;2287;3893;1978.00;5985;33.4;3.958;217;1928
789;195;4651;9191;4430.00;6575;33.4;6.276;217;2105
790;210;3362;5259;1935.00;6519;33.4;4.000;217;2402
791;680;1843;790;848.00;6179;37.6;2.992;196;2702
792;490;5879;1591;364.00;6840;33.4;4.000;217;2934
793;195;1370;1675;693.00;6342;33.4;4.000;217;2050
794;360;249;11620;3788.00;6519;33.4;4.000;217;2179
795;460;1544;4196;2056.00;6302;33.4;3.958;217;2224